mat_dim	pct_miss_data	timeRCOR	timeMPCC	MPCC_nthreads=40	MPCC_nthreads=40_only_A_missing
10	0.05	0.001	0.008	0.394	0.387
10	0.1	0	0	0.017	0.033
10	0.15	0	0	0.017	0.015
10	0.25	0	0	0.003	0.015
10	0.5	0	0	0.015	0.015
50	0.05	0.002	0	0.025	0.024
50	0.1	0.002	0	0.030	0.027
50	0.15	0.002	0.001	0.031	0.025
50	0.25	0.003	0	0.035	0.027
50	0.5	0.002	0.001	0.041	0.03
100	0.05	0.016	0.002	0.088	0.076
100	0.1	0.017	0.002	0.060	0.055
100	0.15	0.018	0.003	0.063	0.055
100	0.25	0.018	0.004	0.065	0.057
100	0.5	0.016	0.005	0.074	0.301
500	0.05	2.033	0.136	0.529	0.423
500	0.1	2.106	0.186	0.48	0.803
500	0.15	2.16	0.225	0.521	0.496
500	0.25	2.25	0.262	0.587	0.245
500	0.5	2.258	0.377	0.605	0.364
1000	0.05	16.264	0.936	1.917	1.236
1000	0.1	16.856	1.327	1.555	0.876
1000	0.15	17.317	1.593	1.546	1.03
1000	0.25	18.015	1.940	1.814	1.092
1000	0.5	18.403	2.649	2.739	1.469
2000	0.05	129.984	7.037	5.566	2.371
2000	0.1	135.097	10.246	7.097	2.773
2000	0.15	139.104	12.335	8.285	3.163
2000	0.25	144.1	14.845	9.99	3.926
2000	0.5	149.134	20.433	13.369	5.727
4000	0.05	1041.019	55.396	36.405	12.94
4000	0.1	1085.043	80.949	50.501	14.384
4000	0.15	1115.312	96.943	59.69	17.154
4000	0.25	1158.274	117.774	72.31	22.505
4000	0.5	1200.994	162.113	97.609	38.117
8000	0.05	8351.624	430.664	261.91	71.976
8000	0.1	8723.315	639.988	379.231	97.123
8000	0.15	8967.935	770.516	456.358	113.233
8000	0.25	9325.962	926.596	548.064	157.185
8000	0.5	9650.859	1286.987	756.392	276.137

