mat_dim	pct_miss_data	timeRCOR	timeMPCC
10	0.05	0.001	0.008
10	0.1	0	0
10	0.15	0	0
10	0.25	0	0
10	0.5	0	0
50	0.05	0.002	0
50	0.1	0.002	0
50	0.15	0.002	0.001
50	0.25	0.003	0
50	0.5	0.002	0.001
100	0.05	0.016	0.002
100	0.1	0.017	0.002
100	0.15	0.018	0.003
100	0.25	0.018	0.004
100	0.5	0.016	0.005
500	0.05	2.033	0.136
500	0.1	2.106	0.186
500	0.15	2.16	0.225
500	0.25	2.25	0.262
500	0.5	2.258	0.377
1000	0.05	16.264	0.936
1000	0.1	16.856	1.327
1000	0.15	17.317	1.593
1000	0.25	18.015	1.940
1000	0.5	18.403	2.649
2000	0.05	129.984	7.037
2000	0.1	135.097	10.246
2000	0.15	139.104	12.335
2000	0.25	144.1	14.845
2000	0.5	149.134	20.433
4000	0.05	1041.019	55.396
4000	0.1	1085.043	80.949
4000	0.15	1115.312	96.943
4000	0.25	1158.274	117.774
4000	0.5	1200.994	162.113
