				R openBLAS					R MKL					MKL vs openBLAS		
				Runtime			Speedup		Runtime			Speedup		Mean & stdev	1.3	0.7
p	n	m	missing	cor	naive	matrix	naive	matrix	cor	naive	matrix	naive	matrix			
250	250	250	0	0.153	0.043	0.258	3.6	0.6	0.231	0.039	0.169	5.9	1.4		1.5	
250	250	250	0.1	0.164	0.036	0.254	4.6	0.6	0.288	0.035	0.052	8.2	5.5		4.9	
250	250	250	0.2	0.161	0.035	0.197	4.6	0.8	0.278	0.044	0.066	6.3	4.2		3.0	
250	250	250	0.3	0.166	0.036	0.251	4.6	0.7	0.278	0.039	0.051	7.1	5.5		4.9	
250	250	250	0.4	0.155	0.035	0.241	4.4	0.6	0.295	0.035	0.078	8.4	3.8		3.1	
250	250	250	0.5	0.162	0.034	0.232	4.8	0.7	0.266	0.038	0.088	7.0	3.0		2.6	
250	500	250	0	0.287	0.069	0.243	4.2	1.2	0.371	0.068	0.145	5.5	2.6		1.7	
250	500	250	0.1	0.296	0.072	0.227	4.1	1.3	0.398	0.071	0.077	5.6	5.2		2.9	
250	500	250	0.2	0.295	0.072	0.228	4.1	1.3	0.387	0.071	0.122	5.5	3.2		1.9	
250	500	250	0.3	0.289	0.078	0.208	3.7	1.4	0.355	0.075	0.126	4.7	2.8		1.7	
250	500	250	0.4	0.297	0.072	0.223	4.1	1.3	0.365	0.071	0.100	5.1	3.7		2.2	
250	500	250	0.5	0.289	0.072	0.236	4.0	1.2	0.368	0.071	0.094	5.2	3.9		2.5	
250	750	250	0	0.425	0.102	0.232	4.2	1.8	0.503	0.102	0.126	4.9	4.0		1.8	
250	750	250	0.1	0.424	0.107	0.243	4.0	1.7	0.486	0.105	0.101	4.6	4.8		2.4	
250	750	250	0.2	0.420	0.106	0.258	4.0	1.6	0.476	0.105	0.152	4.5	3.1		1.7	
250	750	250	0.3	0.422	0.106	0.270	4.0	1.6	0.505	0.118	0.122	4.3	4.1		2.2	
250	750	250	0.4	0.422	0.107	0.221	3.9	1.9	0.497	0.105	0.127	4.7	3.9		1.7	
250	750	250	0.5	0.422	0.106	0.229	4.0	1.8	0.562	0.105	0.078	5.4	7.2		2.9	
250	1000	250	0	0.598	0.144	0.250	4.2	2.4	0.671	0.142	0.114	4.7	5.9		2.2	
250	1000	250	0.1	0.559	0.148	0.226	3.8	2.5	0.636	0.145	0.146	4.4	4.4		1.5	
250	1000	250	0.2	0.557	0.154	0.260	3.6	2.1	0.671	0.153	0.154	4.4	4.4		1.7	
